date,Ice Harbor Daily Streamflows (unit:cfs),Lower Monumental (unit:cfs),Little Goose (unit:cfs),Lower Granite (unit:cfs)
1928-12-04,20306,20306,19845,19628
1928-12-05,19132,19132,18670,18396
1928-12-06,18477,18477,18014,17871
1928-12-07,18133,18133,17657,17644
1928-12-08,17030,17030,16527,16802
1928-12-09,18405,18405,17863,18617
1928-12-10,18623,18623,18059,18072
1928-12-11,17823,17823,17254,17403
1928-12-12,19483,19483,18909,18974
1928-12-13,20259,20259,19720,19721
1928-12-14,21434,21434,20902,20912
1928-12-15,22356,22356,21833,21858
1928-12-16,21309,21309,20816,20993
1928-12-17,16557,16557,16079,16113
1928-12-18,20857,20857,20379,20207
1928-12-19,17781,17781,17309,17544
1928-12-20,16095,16095,15631,15464
1928-12-21,19768,19768,19313,18913
1928-12-22,15162,15162,14700,14671
1928-12-23,16651,16651,16189,16400
1928-12-24,17466,17466,16980,17163
1928-12-25,13028,13028,12503,12777
1928-12-26,19553,19553,19000,19282
1928-12-27,21547,21547,20957,21170
1928-12-28,25974,25974,25382,25469
1928-12-29,22132,22132,21522,21526
1928-12-30,22537,22537,21883,21683
1928-12-31,21192,21192,20500,20318
1929-01-01,18531,18531,17763,17964
1929-01-02,18431,18431,17632,17689
1929-01-03,21248,21248,20442,20478
1929-01-04,19482,19482,18766,18703
1929-01-05,20777,20777,20104,19822
1929-01-06,18702,18702,18058,17738
1929-01-07,19623,19623,18977,18838
1929-01-08,20131,20131,19488,19487
1929-01-09,19035,19035,18389,18485
1929-01-10,20632,20632,19992,19971
1929-01-11,18930,18930,18305,18177
1929-01-12,20521,20521,19909,19891
1929-01-13,18786,18786,18159,18253
1929-01-14,18466,18466,17816,18023
1929-01-15,19632,19632,18982,19030
1929-01-16,16802,16802,16156,16171
1929-01-17,18570,18570,17908,17989
1929-01-18,16600,16600,15954,15842
1929-01-19,21983,21983,21396,21157
1929-01-20,18806,18806,18222,17936
1929-01-21,18950,18950,18360,18248
1929-01-22,20297,20297,19722,19581
1929-01-23,20057,20057,19486,19261
1929-01-24,20514,20514,19938,19861
1929-01-25,21345,21345,20763,20690
1929-01-26,18865,18865,18283,18223
1929-01-27,18987,18987,18409,18469
1929-01-28,19738,19738,19163,19413
1929-01-29,21938,21938,21356,21615
1929-01-30,19386,19386,18811,18928
1929-01-31,20882,20882,20290,20058
1929-02-01,17803,17803,16174,16055
1929-02-02,17721,17721,16084,16290
1929-02-03,18230,18230,16599,16623
1929-02-04,18573,18573,16945,16866
1929-02-05,18739,18739,17116,16941
1929-02-06,18248,18248,16634,16481
1929-02-07,16822,16822,15214,14942
1929-02-08,15678,15678,14074,13797
1929-02-09,15527,15527,13921,13776
1929-02-10,14436,14436,12828,12799
1929-02-11,15689,15689,14096,14099
1929-02-12,14948,14948,13360,13454
1929-02-13,15191,15191,13601,13800
1929-02-14,14301,14301,12713,12924
1929-02-15,15587,15587,13994,14141
1929-02-16,15774,15774,14181,14388
1929-02-17,16618,16618,15026,15057
1929-02-18,17352,17352,15762,15877
1929-02-19,19058,19058,17461,17626
1929-02-20,19479,19479,17879,17906
1929-02-21,20685,20685,19088,19042
1929-02-22,18971,18971,17370,17356
