date,H (unit:cfs)
1928-07-01,63918
1928-07-02,57164
1928-07-03,52531
1928-07-04,49500
1928-07-05,47309
1928-07-06,45073
1928-07-07,44138
1928-07-08,43363
1928-07-09,42219
1928-07-10,39641
1928-07-11,36771
1928-07-12,35214
1928-07-13,34498
1928-07-14,34001
1928-07-15,33350
1928-07-16,31540
1928-07-17,30446
1928-07-18,30102
1928-07-19,29189
1928-07-20,28227
1928-07-21,27033
1928-07-22,26228
1928-07-23,25511
1928-07-24,25176
1928-07-25,24655
1928-07-26,23927
1928-07-27,23524
1928-07-28,23172
1928-07-29,22823
1928-07-30,21809
1928-07-31,20621
1928-08-01,20000
1928-08-02,20000
1928-08-03,20000
1928-08-04,20000
1928-08-05,20000
1928-08-06,19500
1928-08-07,20700
1928-08-08,20100
1928-08-09,20100
1928-08-10,19000
1928-08-11,19000
1928-08-12,18000
1928-08-13,18500
1928-08-14,17500
1928-08-15,18000
1928-08-16,17500
1928-08-17,17500
1928-08-18,18000
1928-08-19,17500
1928-08-20,17500
1928-08-21,17000
1928-08-22,16600
1928-08-23,16100
1928-08-24,16100
1928-08-25,16100
1928-08-26,17000
1928-08-27,17000
1928-08-28,17000
1928-08-29,17000
1928-08-30,17000
1928-08-31,17500
1928-09-01,17500
1928-09-02,16600
1928-09-03,16100
1928-09-04,16100
1928-09-05,16600
1928-09-06,16100
1928-09-07,16100
1928-09-08,16600
1928-09-09,16600
1928-09-10,16600
1928-09-11,17000
1928-09-12,17000
1928-09-13,17500
1928-09-14,17500
1928-09-15,18500
1928-09-16,18500
1928-09-17,19000
1928-09-18,18500
1928-09-19,18000
1928-09-20,18500
1928-09-21,18000
1928-09-22,18500
1928-09-23,18000
1928-09-24,18000
1928-09-25,18000
1928-09-26,18000
1928-09-27,19000
1928-09-28,18000
1928-09-29,18500
1928-09-30,18000
1928-10-01,18000
1928-10-02,18500
1928-10-03,18000
1928-10-04,18500
1928-10-05,18500
1928-10-06,20700
1928-10-07,20700
1928-10-08,21300
1928-10-09,21300
1928-10-10,21900
1928-10-11,22500
1928-10-12,23800
1928-10-13,25200
1928-10-14,24500
1928-10-15,24500
1928-10-16,25200
1928-10-17,25200
1928-10-18,25900
1928-10-19,27400
1928-10-20,29000
1928-10-21,28200
1928-10-22,27400
1928-10-23,26600
1928-10-24,27400
1928-10-25,27400
1928-10-26,26600
1928-10-27,25900
1928-10-28,26600
1928-10-29,26600
1928-10-30,26600
1928-10-31,25900
1928-11-01,26600
1928-11-02,26600
1928-11-03,26600
1928-11-04,26600
1928-11-05,26600
1928-11-06,26600
1928-11-07,26600
1928-11-08,27400
1928-11-09,26600
1928-11-10,26600
1928-11-11,26600
1928-11-12,27400
1928-11-13,27400
1928-11-14,27400
1928-11-15,27400
1928-11-16,27400
1928-11-17,27400
1928-11-18,25900
1928-11-19,23100
1928-11-20,21900
1928-11-21,21300
1928-11-22,20700
1928-11-23,20100
1928-11-24,20700
1928-11-25,20700
1928-11-26,21300
1928-11-27,21300
1928-11-28,21300
1928-11-29,21300
1928-11-30,20700
1928-12-01,20700
1928-12-02,20100
1928-12-03,20100
1928-12-04,20100
1928-12-05,20100
1928-12-06,19000
1928-12-07,16600
1928-12-08,16100
1928-12-09,16600
1928-12-10,25200
1928-12-11,18500
1928-12-12,21300
1928-12-13,21900
1928-12-14,21900
1928-12-15,22500
1928-12-16,21900
1928-12-17,22500
1928-12-18,23100
1928-12-19,21900
1928-12-20,23100
1928-12-21,21900
1928-12-22,19500
1928-12-23,19500
1928-12-24,19500
1928-12-25,20100
1928-12-26,19500
1928-12-27,21900
1928-12-28,24500
1928-12-29,23800
1928-12-30,25200
1928-12-31,25200
1929-01-01,23800
1929-01-02,24500
1929-01-03,24500
1929-01-04,24500
1929-01-05,23800
1929-01-06,23800
1929-01-07,22500
1929-01-08,21900
1929-01-09,19500
1929-01-10,20100
1929-01-11,21300
1929-01-12,20700
1929-01-13,20100
1929-01-14,20100
1929-01-15,21300
1929-01-16,21900
1929-01-17,21900
1929-01-18,22500
1929-01-19,22500
1929-01-20,21900
1929-01-21,21900
1929-01-22,21300
1929-01-23,21300
1929-01-24,20700
1929-01-25,20100
1929-01-26,19500
1929-01-27,19000
1929-01-28,19000
1929-01-29,19000
1929-01-30,19000
1929-01-31,19000
1929-02-01,19000
1929-02-02,19000
1929-02-03,19000
1929-02-04,19000
1929-02-05,18100
1929-02-06,18100
1929-02-07,18100
1929-02-08,18100
1929-02-09,18100
1929-02-10,18100
1929-02-11,17500
1929-02-12,17500
1929-02-13,17500
1929-02-14,17500
1929-02-15,19400
1929-02-16,19400
1929-02-17,19400
1929-02-18,19400
1929-02-19,19400
1929-02-20,19400
1929-02-21,19400
1929-02-22,19400
1929-02-23,19400
1929-02-24,19400
1929-02-25,19400
1929-02-26,19400
1929-02-27,19400
1929-02-28,19400
1929-03-01,22500
1929-03-02,23100
1929-03-03,24500
1929-03-04,24500
1929-03-05,25900
